model,category,code_out_of_50,visual_out_of_50,total_out_of_100,physical_assertion_pass_percent
GPT-4o,Proprietary · zero-shot,15.7,18.1,33.8,21.6
Claude-3.5-Sonnet,Proprietary · zero-shot,17.0,18.9,35.9,23.8
Gemini-2.0-Pro,Proprietary · zero-shot,14.8,16.8,31.6,19.7
DeepSeek-R1,Open-weight · zero-shot,13.8,15.7,29.5,17.9
DRDQ-32B,Open-weight · zero-shot,12.0,15.6,27.6,16.2
Qwen-2.5-32B,Open-weight · zero-shot,0.8,1.1,1.9,0.9
QwQ-32B,Open-weight · zero-shot,6.7,8.8,15.5,7.4
DRDQ-32B + SFT,Single-agent · fine-tuned,17.2,18.2,35.4,28.9
DRDQ-32B + SFT + DPO,Single-agent · fine-tuned,18.4,19.1,37.5,32.1
SMRF (base),Multi-agent,16.2,17.5,33.7,30.4
SMRF + SFT,Multi-agent,30.5,31.1,61.6,63.5
SMRF + SFT + DPO,Multi-agent,33.2,34.0,67.2,70.6
Expert reference (oracle),Oracle · reference implementations,50.0,44.1,94.1,98.6
